Date,Open,High,Low,Close,Adj Close,Volume
2019-04-17,418.0,423.0,416.75,420.5,420.5,17204
2019-04-18,421.25,423.5,415.25,420.0,420.0,20198
2019-04-22,420.0,420.0,410.75,411.75,411.75,13991
2019-04-23,411.5,414.75,408.0,414.5,414.5,23745
2019-04-24,413.25,415.75,403.75,404.5,404.5,22061
2019-04-25,404.0,406.75,400.5,404.25,404.25,22949
2019-04-26,405.0,407.75,398.75,399.75,399.75,26203
2019-04-29,400.5,404.0,388.25,389.75,389.75,17109
2019-04-30,389.5,390.75,383.5,386.25,386.25,1565
2019-05-01,388.25,393.25,387.25,389.25,389.25,855
2019-05-02,392.0,393.25,392.0,393.0,393.0,127
2019-05-03,392.75,393.0,392.75,393.0,393.0,203
2019-05-06,389.0,395.75,386.25,394.25,394.25,25
2019-05-07,395.5,395.5,394.75,394.75,394.75,23
2019-05-08,394.5,394.5,394.25,394.25,394.25,37
2019-05-09,390.0,390.0,390.0,390.0,390.0,92
2019-05-10,379.25,379.25,379.25,379.25,379.25,55
2019-05-13,378.25,397.0,378.25,397.0,397.0,7
2019-05-14,410.0,414.0,401.75,401.75,401.75,30456
2019-05-15,410.0,423.25,401.0,402.0,402.0,36448
2019-05-16,401.0,420.0,401.0,416.75,416.75,29494
2019-05-17,419.75,425.5,415.5,420.25,420.25,28367
2019-05-20,424.75,439.75,424.0,434.5,434.5,41600
2019-05-21,442.0,453.0,431.25,436.0,436.0,43528
2019-05-22,432.5,440.5,428.25,432.25,432.25,33999
2019-05-23,431.5,439.25,421.25,425.25,425.25,40864
2019-05-24,424.0,444.0,421.75,442.0,442.0,30653
2019-05-28,448.0,463.5,447.25,460.75,460.75,39849
2019-05-29,474.75,481.25,450.0,453.25,453.25,49359
2019-05-30,451.75,479.5,445.25,479.0,479.0,42167
2019-05-31,481.0,490.0,467.5,473.0,473.0,55902
2019-06-03,476.5,495.0,473.5,486.75,486.75,49915
2019-06-04,493.0,497.0,462.75,468.5,468.5,54215
2019-06-05,469.25,469.5,445.0,445.75,445.75,34669
2019-06-06,448.25,460.75,440.75,455.25,455.25,47619
2019-06-07,456.0,457.25,445.75,449.0,449.0,30571
2019-06-10,447.25,454.0,439.0,453.0,453.0,34341
2019-06-11,449.0,459.5,441.5,457.5,457.5,40462
2019-06-12,458.25,465.25,451.25,462.75,462.75,37628
2019-06-13,461.75,472.0,460.5,468.25,468.25,32980
2019-06-14,467.75,478.0,466.5,476.25,476.25,36090
2019-06-17,476.5,487.0,473.5,475.5,475.5,24515
2019-06-18,475.0,476.0,460.25,465.25,465.25,29241
2019-06-19,464.5,464.75,452.0,457.5,457.5,29405
2019-06-20,456.25,465.25,451.5,460.5,460.5,29118
2019-06-21,461.0,462.5,451.0,452.5,452.5,22305
2019-06-24,453.0,466.75,450.5,465.5,465.5,21071
